departement,email,name,party,picture,twitter,featured,supporter
43,isabelle.valentin@assemblee-nationale.fr,Isabelle Valentin,Députée LR,images/thumbs/isabelle-valentin.jpg,@isavalentin43,True,False
72,jean-carles.grelier@assemblee-nationale.fr,Jean-Carles Grelier,Député LR,images/thumbs/jean-carles-grelier.jpg,@JCGrelier,True,False
44,aude.amadou@assemblee-nationale.fr,Aude Amadou,Députée LREM,images/thumbs/aude-amadou.jpg,@AudeAmadou,False,False
59,francis.vercamer@assemblee-nationale.fr,Francis Vercamer,Député UAI,images/thumbs/francis-vercamer.jpg,@FVercamer,False,False
47,michel.lauzzana@assemblee-nationale.fr,Michel Lauzzana,Député LREM,images/thumbs/michel-lauzzana.jpg,@lauzzanamichel,True,False
36,nicolas.forissier@assemblee-nationale.fr,Nicolas Forissier,Député LR,images/thumbs/nicolas-forissier.jpg,@N_Forissier,True,False
34,patricia.miralles@assemblee-nationale.fr,Patricia Mirallès,Députée LREM,images/thumbs/patricia-miralles.jpg,@MIRALLESMP,True,False
92,constance.legrip@assemblee-nationale.fr,Constance Le Grip,Députée LR,images/thumbs/constance-le-grip.jpg,@ConstanceLeGrip,True,False
971,max.mathiasin@assemblee-nationale.fr,Max Mathiasin,Député MODEM,images/thumbs/max-mathiasin.jpg,@MaxMathiasin,True,False
91,robinreda91@gmail.com,Robin Reda,Député LR,images/thumbs/robin-reda.jpg,@robinreda,False,False
21,remi.delatte@assemblee-nationale.fr,Rémi Delatte,Député LR,images/thumbs/remi-delatte.jpg,,True,False
85,martine.leguille-balloy@assemblee-nationale.fr,Martine Leguille-Balloy,Députée LREM,images/thumbs/martine-leguille-balloy.jpg,@LeguilleBalloy,False,False
69,anissa.khedher@assemblee-nationale.fr,Anissa Khedher,Députée LREM,images/thumbs/anissa-khedher.jpg,@Anissa_Khedher,False,False
13,jean-luc.melenchon@assemblee-nationale.fr,Jean-Luc Mélenchon,Député LFI,images/thumbs/jean-luc-melenchon.jpg,@jlmelenchon,False,False
977,claire.javois@assemblee-nationale.fr,Claire Guion-Firmin,Députée LR,images/thumbs/claire-guion-firmin.jpg,,True,False
85,pierre.henriet@assemblee-nationale.fr,Pierre Henriet,Député LREM,images/thumbs/pierre-henriet.jpg,@HenrietPierre,False,False
24,philippe.chassaing@assemblee-nationale.fr,Philippe Chassaing,Député LREM,images/thumbs/philippe-chassaing.jpg,,False,False
27,fabien.gouttefarde@assemblee-nationale.fr,Fabien Gouttefarde,Député LREM,images/thumbs/fabien-gouttefarde.jpg,@FabienGoutte,False,False
14,fabrice.levigoureux@assemblee-nationale.fr,Fabrice Le Vigoureux,Député LREM,images/thumbs/fabrice-le-vigoureux.jpg,@LeVigoureuxF,False,False
92,elsa.faucillon@assemblee-nationale.fr,Elsa Faucillon,Députée GDR,images/thumbs/elsa-faucillon.jpg,@elsafaucillon,False,False
54,aec.carolinefiat@gmail.com,Caroline Fiat,Députée LFI,images/thumbs/caroline-fiat.jpg,@CarolineFiat54,True,False
33,pascal.lavergne@assemblee-nationale.fr,Pascal Lavergne,Député LREM,images/thumbs/.jpg,,False,False
67,info@antoine-herth.fr,Antoine Herth,Député UAI,images/thumbs/antoine-herth.jpg,@antoineherth,False,False
51,eric.girardin@assemblee-nationale.fr,Éric Girardin,Député LREM,images/thumbs/eric-girardin.jpg,@GirardinEric,True,False
27,Severine.Gipson@assemblee-nationale.fr,Séverine Gipson,Députée LREM,images/thumbs/severine-gipson.jpg,@severine_gipson,False,False
41,mleroy.depute41@orange.fr,Maurice Leroy,Député UDI,images/thumbs/maurice-leroy.jpg,@MauriceLeroy,True,False
999,amelia.lakrafi@assemblee-nationale.fr,Amal-Amélia Lakrafi,Députée LREM,images/thumbs/amal-amelia-lakrafi.jpg,@amelia_lkf,False,False
31,jean-francois.portarrieu@assemblee-nationale.fr,Jean-François Portarrieu,Député LREM,images/thumbs/jean-francois-portarrieu.jpg,@jfportarrieu,False,False
03,benedicte.peyrol@assemblee-nationale.fr,Bénédicte Peyrol,Députée LREM,images/thumbs/benedicte-peyrol.jpg,@B_Peyrol,True,False
38,caroline.abadie@assemblee-nationale.fr,Caroline Abadie,Députée LREM,images/thumbs/caroline-abadie.jpg,@AbadieCaroline,False,False
28,philippe.vigier@assemblee-nationale.fr,Philippe Vigier,Député UAI,images/thumbs/philippe-vigier.jpg,@VigierPhilippe,True,False
36,francois.jolivet@assemblee-nationale.fr,François Jolivet,Député LREM,images/thumbs/francois-jolivet.jpg,@FJolivet36,False,False
53,geraldine.bannier@assemblee-nationale.fr,Géraldine Bannier,Députée MODEM,images/thumbs/geraldine-bannier.jpg,@Bannier_G,True,False
974,david.lorion@assemblee-nationale.fr,David Lorion,Député LR,images/thumbs/david-lorion.jpg,@David_Lorion,True,False
52,francois.cornut-gentille@assemblee-nationale.fr,François Cornut-Gentille,Député LR,images/thumbs/francois-cornut-gentille.jpg,@FCornutGentille,True,False
69,bernard.perrut@assemblee-nationale.fr,Bernard Perrut,Député LR,images/thumbs/bernard-perrut.jpg,@b_perrut,False,False
988,philippe.dunoyer@assemblee-nationale.fr,Philippe Dunoyer,Député UAI,images/thumbs/philippe-dunoyer.jpg,,True,False
84,jcbouchet@jcbouchet.fr,Jean-Claude Bouchet,Député LR,images/thumbs/jean-claude-bouchet.jpg,@JCBOUCHET,False,False
21,permanence.dparis@gmail.com,Didier Paris,Député LREM,images/thumbs/didier-paris.jpg,,False,False
94,maud.petit@assemblee-nationale.fr,Maud Petit,Députée MODEM,images/thumbs/maud-petit.jpg,@MaudPetit_AN94,False,False
19,frederique.meunier@assemblee-nationale.fr,Frédérique Meunier,Députée LR,images/thumbs/frederique-meunier.jpg,@fmeunier19,True,False
12,arnaud.viala@assemblee-nationale.fr,Arnaud Viala,Député LR,images/thumbs/arnaud-viala.jpg,@arnaudviala,False,False
31,corinne.vignon@assemblee-nationale.fr,Corinne Vignon,Députée LREM,images/thumbs/corinne-vignon.jpg,@corinnevignon,False,False
59,alain.bruneel@assemblee-nationale.fr,Alain Bruneel,Député GDR,images/thumbs/alain-bruneel.jpg,@Alain_Bruneel,False,False
84,julien.aubert@assemblee-nationale.fr,Julien Aubert,Député LR,images/thumbs/julien-aubert.jpg,@JulienAubert84,False,False
84,brune.poirson@assemblee-nationale.fr,Brune Poirson,Députée LREM,images/thumbs/brune-poirson.jpg,@brunepoirson,False,False
94,gilles.carrez@assemblee-nationale.fr,Gilles Carrez,Député LR,images/thumbs/gilles-carrez.jpg,@GillesCarrez,False,False
972,jean-philippe.nilor@wanadoo.fr,Jean-Philippe Nilor,Député GDR,images/thumbs/jean-philippe-nilor.jpg,,True,False
59,christian.hutin@assemblee-nationale.fr,Christian Hutin,Député NG,images/thumbs/christian-hutin.jpg,@ChristianHutin,False,False
77,jean-francois.parigi@assemblee-nationale.fr,Jean-François Parigi,Député LR,images/thumbs/jean-francois-parigi.jpg,,False,False
76,hubert.wulfranc@assemblee-nationale.fr,Hubert Wulfranc,Député GDR,images/thumbs/hubert-wulfranc.jpg,,True,False
75,pyb18@hotmail.fr,Pierre-Yves Bournazel,Député UAI,images/thumbs/pierre-yves-bournazel.jpg,@pybournazel,True,False
13,gteissier@mairie-marseille.fr,Guy Teissier,Député LR,images/thumbs/guy-teissier.jpg,@guyteissier,False,False
93,stephane.peu@ville-saint-denis.fr,Stéphane Peu,Député GDR,images/thumbs/stephane-peu.jpg,@stephane1peu,False,False
75,sylvain.maillard@assemblee-nationale.fr,Sylvain Maillard,Député LREM,images/thumbs/sylvain-maillard.jpg,@sylvainmaillard,False,False
14,bertrand.bouyx@assemblee-nationale.fr,Bertrand Bouyx,Député LREM,images/thumbs/bertrand-bouyx.jpg,@BertrandBouyx,False,False
972,brunonestor.azerot@assemblee-nationale.fr,Bruno Nestor Azerot,Député GDR,images/thumbs/bruno-nestor-azerot.jpg,@BNAzerot,False,False
18,nadia.essayan@assemblee-nationale.fr,Nadia Essayan,Députée MODEM,images/thumbs/nadia-essayan.jpg,@nadiaessayan,True,False
974,nadia.ramassamy@assemblee-nationale.fr,Nadia Ramassamy,Députée LR,images/thumbs/nadia-ramassamy.jpg,,False,False
18,loic.kervran@assemblee-nationale.fr,Loïc Kervran,Député LREM,images/thumbs/loic-kervran.jpg,@LoicKervran18,False,False
77,valerie.lacroute@assemblee-nationale.fr,Valérie Lacroute,Députée LR,images/thumbs/valerie-lacroute.jpg,@VLacroute,False,False
78,nadia.hai@assemblee-nationale.fr,Nadia Hai,Députée LREM,images/thumbs/nadia-hai.jpg,@NadiaHai78,True,False
91,laetitia.romeirodias@assemblee-nationale.fr,Laëtitia Romeiro Dias,Députée LREM,images/thumbs/laetitia-romeiro-dias.jpg,@Romeiro1L,False,False
67,bruno.studer@assemblee-nationale.fr,Bruno Studer,Député LREM,images/thumbs/bruno-studer.jpg,@brunostuder67,False,False
87,sophie.beaudouin-hubiere@assemblee-nationale.fr,Sophie Beaudouin-Hubiere,Députée LREM,images/thumbs/sophie-beaudouin-hubiere.jpg,@BeaudouinSo,True,False
75,brigitte.kuster@assemblee-nationale.fr,Brigitte Kuster,Députée LR,images/thumbs/brigitte-kuster.jpg,@Brigitte_Kuster,False,False
54,thibault.bazin@assemblee-nationale.fr,Thibault Bazin,Député LR,images/thumbs/thibault-bazin.jpg,@thibault_bazin,False,False
57,fabien.difilippo@assemblee-nationale.fr,Fabien Di Filippo,Député LR,images/thumbs/fabien-di-filippo.jpg,,False,False
30,gilbert.collard@assemblee-nationale.fr,Gilbert Collard,Député NI,images/thumbs/gilbert-collard.jpg,@GilbertCollard,False,False
68,raphael.schellenberger@assemblee-nationale.fr,Raphaël Schellenberger,Député LR,images/thumbs/raphael-schellenberger.jpg,@rscactu,True,False
70,christophe.lejeune@assemblee-nationale.fr,Christophe Lejeune,Député LREM,images/thumbs/christophe-lejeune.jpg,,True,False
77,michelepeyronenmarche77@gmail.com,Michèle Peyron,Députée LREM,images/thumbs/michele-peyron.jpg,@MichelePeyron,False,False
987,moetai.brotherson@gmail.com,Moetai Brotherson,Député GDR,images/thumbs/moetai-brotherson.jpg,@Moetai1,False,False
13,cathy.racon-bouzon@assemblee-nationale.fr,Cathy Racon-Bouzon,Députée LREM,images/thumbs/cathy-racon-bouzon.jpg,@RaconCathy,False,False
92,gabriel.attal@assemblee-nationale.fr,Gabriel Attal,Député LREM,images/thumbs/gabriel-attal.jpg,@GabrielAttal,False,False
28,olivier.marleix@assemblee-nationale.fr,Olivier Marleix,Député LR,images/thumbs/olivier-marleix.jpg,@oliviermarleix,False,False
84,Marie-France.Lorho@assemblee-nationale.fr,Marie-France Lorho,Députée NI,images/thumbs/marie-france-lorho.jpg,@FranceLorho,False,False
64,josy.poueyto@assemblee-nationale.fr,Josy Poueyto,Députée MODEM,images/thumbs/josy-poueyto.jpg,@josypoueyto,False,False
75,pierre.person@en-marche.fr,Pierre Person,Député LREM,images/thumbs/pierre-person.jpg,@pierr_person,False,False
976,ramlati.ali@assemblee-nationale.fr,Ramlati Ali,Députée LREM,images/thumbs/ramlati-ali.jpg,,True,False
45,claude.deganay@assemblee-nationale.fr,Claude de Ganay,Député LR,images/thumbs/claude-de-ganay.jpg,@Cdganay,True,False
59,circo5911@gmail.com,Laurent Pietraszewski,Député LREM,images/thumbs/laurent-pietraszewski.jpg,@pietraszewski_l,False,False
91,marie.guevenoux@assemblee-nationale.fr,Marie Guévenoux,Députée LREM,images/thumbs/marie-guevenoux.jpg,@mguevenoux,False,False
971,o.serva@ose.gp,Olivier Serva,Député LREM,images/thumbs/olivier-serva.jpg,@olivier_serva,False,False
78,didier.baichere@assemblee-nationale.fr,Didier Baichère,Député LREM,images/thumbs/didier-baichere.jpg,@dbaichere,False,False
69,bruno.bonnell@assemblee-nationale.fr,Bruno Bonnell,Député LREM,images/thumbs/bruno-bonnell.jpg,@BrunoBonnellOff,False,False
13,alexandra.louis@assemblee-nationale.fr,Alexandra Louis,Députée LREM,images/thumbs/alexandra-louis.jpg,,False,False
92,christine.hennion@assemblee-nationale.fr,Christine Hennion,Députée LREM,images/thumbs/christine-hennion.jpg,@Ch_Hennion,False,False
07,herve.saulignac2017@gmail.com,Hervé Saulignac,Député NG,images/thumbs/herve-saulignac.jpg,@hsaulignac,False,False
91,nicolas.dupont-aignan@assemblee-nationale.fr,Nicolas Dupont-Aignan,Député NI,images/thumbs/nicolas-dupont-aignan.jpg,@dupontaignan,False,False
57,helene.zannier@assemblee-nationale.fr,Hélène Zannier,Députée LREM,images/thumbs/helene-zannier.jpg,@HeleneZannier,False,False
09,benedicte.taurine@assemblee-nationale.fr,Bénédicte Taurine,Députée LFI,images/thumbs/benedicte-taurine.jpg,@BenedictTaurine,True,False
975,stephane.claireaux@assemblee-nationale.fr,Stéphane Claireaux,Député LREM,images/thumbs/stephane-claireaux.jpg,@sclaireaux,True,False
93,clementineautain93@gmail.com,Clémentine Autain,Députée LFI,images/thumbs/clementine-autain.jpg,@Clem_Autain,False,False
16,thomas.mesnier@assemblee-nationale.fr,Thomas Mesnier,Député LREM,images/thumbs/thomas-mesnier.jpg,@MESNIERThomas,False,False
83,emilie.guerel@en-marche.fr,Émilie Guerel,Députée LREM,images/thumbs/emilie-guerel.jpg,@eguerelLREM,True,False
93,eric.coquerel@assemblee-nationale.fr,Éric Coquerel,Député LFI,images/thumbs/eric-coquerel.jpg,@ericcoquerel,False,False
68,contact@jacques-cattin.fr,Jacques Cattin,Député LR,images/thumbs/jacques-cattin.jpg,@JCattin2017,False,False
971,justine.benin@assemblee-nationale.fr,Justine Benin,Députée MODEM,images/thumbs/justine-benin.jpg,,False,False
78,beatrice.piron@assemblee-nationale.fr,Béatrice Piron,Députée LREM,images/thumbs/beatrice-piron.jpg,@beatricepiron,False,False
51,charles.de-courson@wanadoo.fr,Charles de Courson,Député UDI,images/thumbs/charles-de-courson.jpg,@C_deCourson,False,False
77,christian.jacob@assemblee-nationale.fr,Christian Jacob,Député LR,images/thumbs/christian-jacob.jpg,,False,False
90,ian.boucard@gmail.com,Ian Boucard,Député LR,images/thumbs/ian-boucard.jpg,@IanBoucard,True,False
84,jacques.bompard@assemblee-nationale.fr,Jacques Bompard,Député NI,images/thumbs/jacques-bompard.jpg,@JacquesBompard,False,False
77,stephanie.do@assemblee-nationale.fr,Stéphanie Do,Députée LREM,images/thumbs/stephanie-do.jpg,@DoStephanie_77,False,False
49,laetitia.saint-paul@assemblee-nationale.fr,Laetitia Saint-Paul,Députée LREM,images/thumbs/laetitia-saint-paul.jpg,,False,False
72,pascale.fontenel-personne@assemblee-nationale.fr,Pascale Fontenel-Personne,Députée LREM,images/thumbs/pascale-fontenel-personne.jpg,@f_personne,False,False
64,jean.lassalle@assemblee-nationale.fr,Jean Lassalle,Député NI,images/thumbs/jean-lassalle.jpg,@jeanlassalle,False,False
94,michel.herbillon@assemblee-nationale.fr,Michel Herbillon,Député LR,images/thumbs/michel-herbillon.jpg,,False,False
88,contact@naegelen.fr,Christophe Naegelen,Député UAI,images/thumbs/christophe-naegelen.jpg,@c_naegelen,False,False
61,velouwagie@gmail.com,Véronique Louwagie,Députée LR,images/thumbs/veronique-louwagie.jpg,@VeroLouwagie,True,False
49,jctaugourdeau.depute@wanadoo.fr,Jean-Charles Taugourdeau,Député LR,images/thumbs/jean-charles-taugourdeau.jpg,@jctaugourdeau,False,False
93,patrice.anato@assemblee-nationale.fr,Patrice Anato,Député LREM,images/thumbs/patrice-anato.jpg,@patrice_anato,False,False
13,anne-laurence.petel@assemblee-nationale.fr,Anne-Laurence Petel,Députée LREM,images/thumbs/anne-laurence-petel.jpg,@al_petel,False,False
94,albane.gaillot@assemblee-nationale.fr,Albane Gaillot,Députée LREM,images/thumbs/albane-gaillot.jpg,@AlbaneGaillot,False,False
59,sebastien.huyghe@assemblee-nationale.fr,Sébastien Huyghe,Député LR,images/thumbs/sebastien-huyghe.jpg,@SebastienHuyghe,False,False
34,muriel.ressiguier@assemblee-nationale.fr,Muriel Ressiguier,Députée LFI,images/thumbs/muriel-ressiguier.jpg,@mressiguier,False,False
19,permanence@christophejerretie.fr,Christophe Jerretie,Député LREM,images/thumbs/christophe-jerretie.jpg,@cjerretie,False,False
76,annie.vidal@assemblee-nationale.fr,Annie Vidal,Députée LREM,images/thumbs/annie-vidal.jpg,@Vidal7602,False,False
21,fadila.khattabi@assemblee-nationale.fr,Fadila Khattabi,Députée LREM,images/thumbs/fadila-khattabi.jpg,@KhattabiF,False,False
49,nicole.dubre-chirat@assemblee-nationale.fr,Nicole Dubré-Chirat,Députée LREM,images/thumbs/nicole-dubre-chirat.jpg,@NicoleDubre17,False,False
29,liliana.tanguy@assemblee-nationale.fr,Liliana Tanguy,Députée LREM,images/thumbs/liliana-tanguy.jpg,@LilianeTanguyAN,True,False
59,beatrice.descamps@assemblee-nationale.fr,Béatrice Descamps,Députée UAI,images/thumbs/beatrice-descamps.jpg,,False,False
94,jeanfrancois.mbaye@assemblee-nationale.fr,Jean François Mbaye,Député LREM,images/thumbs/jean-francois-mbaye.jpg,@JFMBAYE,False,False
69,vercherepatrice@orange.fr,Patrice Verchère,Député LR,images/thumbs/patrice-verchere.jpg,@PatriceVerchere,False,False
59,dimitri.houbron@en-marche.fr,Dimitri Houbron,Député LREM,images/thumbs/dimitri-houbron.jpg,@DimitriHoub17,False,False
50,sonia.krimi@assemblee-nationale.fr,Sonia Krimi,Députée LREM,images/thumbs/sonia-krimi.jpg,@Sonia_Krimi,False,False
14,christophe.blanchet@assemblee-nationale.fr,Christophe Blanchet,Député LREM,images/thumbs/christophe-blanchet.jpg,@christoblanchet,False,False
80,emmanuel.maquet@assemblee-nationale.fr,Emmanuel Maquet,Député LR,images/thumbs/emmanuel-maquet.jpg,@emmanuel_maquet,False,False
75,claude.goasguen@assemblee-nationale.fr,Claude Goasguen,Député LR,images/thumbs/claude-goasguen.jpg,@ClaudeGoasguen,False,False
80,depute.demilly@wanadoo.fr,Stéphane Demilly,Député UDI,images/thumbs/stephane-demilly.jpg,,False,False
44,audrey.dufeuschubert@assemblee-nationale.fr,Audrey Dufeu Schubert,Députée LREM,images/thumbs/audrey-dufeu-schubert.jpg,@audreydufeu,False,False
75,mounir.mahjoubi@assemblee-nationale.fr,Mounir Mahjoubi,Député LREM,images/thumbs/mounir-mahjoubi.jpg,@mounir,False,False
988,philippe.gomes@assemblee-nationale.fr,Philippe Gomès,Député UDI,images/thumbs/philippe-gomes.jpg,@PhilippeGomesCE,False,False
45,stephanie.rist@en-marche.fr,Stéphanie Rist,Députée LREM,images/thumbs/stephanie-rist.jpg,@stephanie_rist,False,False
53,favennec.yannick@wanadoo.fr,Yannick Favennec Becot,Député UDI,images/thumbs/yannick-favennec-becot.jpg,@yfavennec,False,False
77,patricia.lemoine@assemblee-nationale.fr,Patricia Lemoine,Députée UDI,images/thumbs/.jpg,,False,False
27,claire.opetit@assemblee-nationale.fr,Claire O'Petit,Députée LREM,images/thumbs/claire-o-petit.jpg,,False,False
06,eric.pauget@assemblee-nationale.fr,Éric Pauget,Député LR,images/thumbs/eric-pauget.jpg,@EricPAUGET1,True,False
